iter	Passed	Remaining
418	2316	3212
419	2322	3207
420	2327	3201
421	2331	3193
422	2335	3185
423	2340	3179
424	2346	3174
425	2349	3165
426	2355	3161
427	2360	3154
428	2363	3146
429	2370	3142
430	2374	3134
431	2378	3126
432	2381	3118
433	2387	3113
434	2392	3107
435	2395	3099
436	2399	3090
437	2404	3085
438	2411	3081
439	2414	3073
440	2420	3067
441	2425	3061
442	2428	3054
443	2435	3049
444	2439	3041
445	2442	3034
446	2446	3026
447	2452	3021
448	2456	3014
449	2460	3006
450	2463	2998
451	2468	2993
452	2474	2987
453	2477	2979
454	2483	2974
455	2486	2966
456	2491	2959
457	2494	2951
458	2500	2946
459	2504	2940
460	2508	2932
461	2512	2925
462	2517	2920
463	2522	2913
464	2525	2906
465	2533	2903
466	2540	2899
467	2544	2892
468	2550	2887
469	2555	2882
470	2560	2875
471	2566	2871
472	2571	2865
473	2576	2859
474	2582	2854
475	2588	2848
476	2591	2841
477	2597	2837
478	2602	2830
479	2610	2827
480	2615	2821
481	2620	2816
482	2624	2809
483	2631	2805
484	2635	2799
485	2640	2792
486	2645	2786
487	2650	2781
488	2655	2775
489	2661	2770
490	2665	2762
491	2669	2756
492	2674	2750
493	2679	2744
494	2682	2736
495	2686	2729
496	2691	2724
497	2695	2717
498	2699	2710
499	2705	2705
500	2709	2698
501	2715	2693
502	2721	2688
503	2724	2681
504	2729	2675
505	2732	2668
506	2738	2663
507	2743	2656
508	2746	2649
509	2753	2645
510	2756	2638
511	2760	2631
512	2764	2624
513	2771	2620
514	2776	2614
515	2779	2607
516	2786	2602
517	2789	2595
518	2793	2588
519	2797	2582
520	2802	2576
521	2806	2570
522	2810	2563
523	2814	2556
524	2819	2551
525	2824	2545
526	2828	2538
527	2834	2533
528	2840	2529
529	2844	2522
530	2848	2515
531	2858	2514
532	2861	2507
533	2866	2501
534	2870	2494
535	2877	2490
536	2881	2484
537	2885	2478
538	2892	2473
539	2899	2469
540	2902	2462
541	2908	2457
542	2914	2452
543	2917	2445
544	2924	2441
545	2928	2434
546	2932	2428
547	2935	2421
548	2941	2416
549	2946	2410
550	2949	2403
551	2953	2396
552	2957	2390
553	2962	2384
554	2965	2377
555	2972	2373
556	2975	2366
557	2980	2361
558	2987	2356
559	2991	2350
560	2995	2344
561	3002	2339
562	3006	2333
563	3009	2326
564	3012	2319
565	3018	2314
566	3022	2308
567	3026	2302
568	3030	2295
569	3036	2290
570	3043	2286
571	3046	2279
572	3052	2274
573	3056	2268
574	3060	2262
575	3066	2257
576	3070	2250
577	3074	2244
578	3077	2237
579	3083	2233
580	3088	2227
581	3092	2221
582	3098	2216
583	3102	2210
584	3108	2205
585	3114	2200
586	3118	2193
587	3122	2187
588	3126	2181
589	3132	2176
590	3136	2170
591	3139	2163
592	3143	2157
593	3149	2152
594	3183	2167
595	3186	2160
596	3192	2154
597	3195	2148
598	3199	2141
599	3203	2135
600	3207	2129
601	3220	2129
602	3224	2123
603	3230	2117
604	3234	2111
605	3239	2105
606	3242	2099
607	3246	2092
608	3250	2087
609	3255	2081
610	3260	2075
611	3264	2069
612	3268	2063
613	3271	2056
614	3276	2051
615	3281	2045
616	3285	2039
617	3290	2033
618	3294	2027
619	3300	2023
620	3304	2016
621	3309	2011
622	3315	2006
623	3319	2000
624	3324	1994
625	3328	1988
626	3333	1982
627	3337	1976
628	3341	1970
629	3346	1965
630	3350	1959
631	3355	1953
632	3361	1948
633	3365	1942
634	3369	1936
635	3374	1931
636	3378	1925
637	3382	1919
638	3385	1912
639	3389	1906
640	3394	1901
641	3398	1895
642	3403	1889
643	3407	1883
644	3412	1878
645	3415	1871
646	3419	1865
647	3423	1859
648	3429	1854
649	3434	1849
650	3438	1843
651	3443	1837
652	3447	1831
653	3450	1825
654	3455	1820
655	3460	1814
656	3464	1808
657	3469	1803
658	3473	1797
659	3477	1791
660	3481	1785
661	3485	1779
662	3490	1774
663	3495	1768
664	3499	1763
665	3503	1757
666	3507	1751
667	3511	1745
668	3515	1739
669	3518	1732
670	3523	1727
671	3527	1721
672	3532	1716
673	3536	1710
674	3540	1704
675	3544	1698
676	3549	1693
677	3554	1687
678	3558	1682
679	3562	1676
680	3565	1670
681	3570	1665
682	3575	1659
683	3579	1653
684	3585	1648
685	3589	1642
686	3592	1636
687	3597	1631
688	3602	1626
689	3606	1620
690	3610	1614
691	3614	1608
692	3620	1604
693	3624	1598
694	3629	1592
695	3634	1587
696	3638	1581
697	3641	1575
698	3645	1569
699	3650	1564
700	3655	1559
701	3659	1553
702	3664	1547
703	3670	1543
704	3674	1537
705	3677	1531
706	3684	1526
707	3688	1521
708	3692	1515
709	3696	1509
710	3701	1504
711	3704	1498
712	3710	1493
713	3714	1488
714	3718	1482
715	3721	1476
716	3726	1470
717	3731	1465
718	3735	1459
719	3740	1454
720	3745	1449
721	3750	1444
722	3753	1438
723	3758	1432
724	3764	1427
725	3768	1422
726	3772	1416
727	3777	1411
728	3781	1405
729	3791	1402
730	3798	1397
731	3802	1392
732	3808	1387
733	3815	1382
734	3819	1377
735	3824	1371
736	3829	1366
737	3832	1360
738	3836	1354
739	3840	1349
740	3843	1343
741	3848	1338
742	3852	1332
743	3856	1326
744	3860	1321
745	3865	1316
746	3872	1311
747	3880	1307
748	3885	1302
749	3891	1297
750	3897	1292
751	3900	1286
752	3904	1280
753	3909	1275
754	3913	1270
755	3918	1264
756	3922	1259
757	3926	1253
758	3930	1248
759	3935	1242
760	3942	1238
761	3946	1232
762	3950	1227
763	3955	1221
764	3959	1216
765	3962	1210
766	3968	1205
767	3975	1200
768	3979	1195
769	3984	1190
770	3988	1184
771	3992	1179
772	3997	1173
773	4001	1168
774	4008	1163
775	4012	1158
776	4016	1152
777	4021	1147
778	4025	1142
779	4028	1136
780	4033	1131
781	4039	1125
782	4043	1120
783	4046	1114
784	4050	1109
785	4055	1104
786	4059	1098
787	4063	1093
788	4068	1088
789	4077	1083
790	4083	1078
791	4088	1073
792	4092	1068
793	4096	1062
794	4102	1057
795	4108	1052
796	4112	1047
797	4116	1041
798	4120	1036
799	4124	1031
800	4129	1025
801	4136	1021
802	4140	1015
803	4144	1010
804	4148	1005
805	4153	999
806	4156	994
807	4160	988
808	4164	983
809	4170	978
810	4176	973
811	4182	968
812	4188	963
813	4192	958
814	4198	952
815	4204	948
816	4208	942
817	4212	937
818	4217	932
819	4221	926
820	4225	921
821	4229	915
822	4234	910
823	4237	905
824	4241	899
825	4246	894
826	4250	889
827	4254	883
828	4258	878
829	4265	873
830	4270	868
831	4275	863
832	4281	858
833	4289	853
834	4295	848
835	4300	843
836	4304	838
837	4307	832
838	4313	827
839	4317	822
840	4321	817
841	4325	811
842	4331	806
843	4335	801
844	4338	795
845	4343	790
846	4347	785
847	4350	779
848	4354	774
849	4358	769
850	4363	763
851	4367	758
852	4372	753
853	4378	748
854	4383	743
855	4387	738
856	4391	732
857	4397	727
858	4401	722
859	4405	717
860	4410	712
861	4414	706
862	4418	701
863	4421	696
864	4426	690
865	4429	685
866	4434	680
867	4438	674
868	4442	669
869	4446	664
870	4450	659
871	4456	654
872	4460	648
873	4464	643
874	4468	638
875	4475	633
876	4480	628
877	4484	623
878	4487	617
879	4492	612
880	4496	607
881	4501	602
882	4534	600
883	4538	595
884	4543	590
885	4546	585
886	4549	579
887	4554	574
888	4559	569
889	4572	565
890	4577	559
891	4587	555
892	4593	550
893	4600	545
894	4604	540
895	4609	535
896	4615	529
897	4619	524
898	4623	519
899	4627	514
900	4632	509
901	4639	504
902	4642	498
903	4648	493
904	4653	488
905	4656	483
906	4663	478
907	4666	472
908	4670	467
909	4674	462
910	4681	457
911	4687	452
912	4691	447
913	4697	441
914	4703	436
915	4706	431
916	4712	426
917	4717	421
918	4720	416
919	4723	410
920	4729	405
921	4734	400
922	4737	395
923	4744	390
924	4749	385
925	4752	379
926	4755	374
927	4761	369
928	4767	364
929	4770	359
930	4777	354
931	4783	349
932	4787	343
933	4793	338
934	4797	333
935	4801	328
936	4804	323
937	4809	317
938	4813	312
939	4817	307
940	4822	302
941	4826	297
942	4832	292
943	4836	286
944	4842	281
945	4847	276
946	4850	271
947	4856	266
948	4860	261
949	4864	256
950	4868	250
951	4873	245
952	4879	240
953	4882	235
954	4888	230
955	4893	225
956	4898	220
957	4905	215
958	4909	209
959	4912	204
960	4915	199
961	4922	194
962	4926	189
963	4930	184
964	4936	179
965	4940	173
966	4944	168
967	4947	163
968	4954	158
969	4960	153
970	4963	148
971	4968	143
972	4972	137
973	4977	132
974	4981	127
975	4988	122
976	4993	117
977	4996	112
978	5002	107
979	5007	102
980	5010	97
981	5016	91
982	5020	86
983	5026	81
984	5030	76
985	5036	71
986	5041	66
987	5044	61
988	5050	56
989	5054	51
990	5058	45
991	5061	40
992	5067	35
993	5071	30
994	5074	25
995	5078	20
996	5086	15
997	5093	10
998	5100	5
999	5103	0
