iter	Logloss
0	0.6762378899
1	0.6600354459
2	0.6454598694
3	0.6311485146
4	0.6183545178
5	0.6068428426
6	0.5955275302
7	0.5851769761
8	0.5753804924
9	0.5659504567
10	0.5575650233
11	0.5498136129
12	0.5424611946
13	0.5355789843
14	0.529268742
15	0.5230089083
16	0.5173226775
17	0.512383056
18	0.507510047
19	0.503134094
20	0.4989889647
21	0.4949549927
22	0.4912306223
23	0.4881029182
24	0.4848619937
25	0.4819866023
26	0.4791790056
27	0.4764840997
28	0.4737171955
29	0.4712513225
30	0.4690551331
31	0.4671105214
32	0.4648876326
33	0.4629591768
34	0.4611076584
35	0.4593494167
36	0.4576498088
37	0.4561821838
38	0.4547590494
39	0.4535370788
40	0.4523319025
41	0.4510718526
42	0.4500570862
43	0.449109665
44	0.4480514575
45	0.447145342
46	0.4461889347
47	0.4453127638
48	0.4444304068
49	0.4437261099
50	0.4429939804
51	0.4421476504
52	0.4415052203
53	0.4407790172
54	0.4401326793
55	0.4396076467
56	0.43899837
57	0.4384926948
58	0.4379629905
59	0.4375101963
60	0.4370056614
61	0.4365026147
62	0.4361062803
63	0.4356893498
64	0.4353127243
65	0.4349082698
66	0.4344986614
67	0.4341108058
68	0.4336924018
69	0.4333904854
70	0.4330636378
71	0.4327983257
72	0.4326173844
73	0.4322652611
74	0.4318836278
75	0.431611935
76	0.4313185495
77	0.4309988469
78	0.4307372159
79	0.4304767159
80	0.4302181123
81	0.429946316
82	0.429756516
83	0.4294476556
84	0.429164038
85	0.4288667899
86	0.428636206
87	0.4283786667
88	0.4281946352
89	0.4279422685
90	0.4277502897
91	0.4274513761
92	0.4272464015
93	0.4271173972
94	0.426781662
95	0.4266238127
96	0.4264438349
97	0.4262840363
98	0.4261823401
99	0.426051321
100	0.4258220171
101	0.4256629722
102	0.4253743098
103	0.4251788417
104	0.4250143834
105	0.42487337
106	0.4246965005
107	0.4244889039
108	0.4243663822
109	0.4242719664
110	0.4241359396
111	0.4239374132
112	0.4237933267
113	0.4235945008
114	0.4234429237
115	0.4233391798
116	0.4232205143
117	0.4231136268
118	0.4228662116
119	0.4227241064
120	0.4225624968
121	0.4223997363
122	0.4222699149
123	0.4220595739
124	0.4218688842
125	0.4217321947
126	0.4216263985
127	0.421430067
128	0.421320744
129	0.4211328552
130	0.4209176397
131	0.4207914893
132	0.4206449433
133	0.4204749656
134	0.4203828569
135	0.4201817848
136	0.4199607749
137	0.4198804426
138	0.4197541022
139	0.4196049092
140	0.4194667853
141	0.4193534738
142	0.4191471513
143	0.4190264134
144	0.4189228537
145	0.4187652319
146	0.41858918
147	0.418471495
148	0.4183283344
149	0.4181968755
150	0.4181068271
151	0.4179817137
152	0.4178740307
153	0.4177540484
154	0.4176455788
155	0.4174950266
156	0.4173438278
157	0.4172020357
158	0.417085465
159	0.4169312308
160	0.4168294817
161	0.4167433108
162	0.4166384383
163	0.4165724733
164	0.4164474349
165	0.4162596659
166	0.4160700517
167	0.4159319376
168	0.4157692814
169	0.4156141376
170	0.4154858181
171	0.4153714772
172	0.4152573928
173	0.4150937598
174	0.4149839671
175	0.414841431
176	0.4147763148
177	0.4147042551
178	0.4146663162
179	0.4146219029
180	0.4144497119
181	0.4142947079
182	0.4141867677
183	0.4140857413
184	0.4138959054
185	0.4137641062
186	0.4136066842
187	0.4135317652
188	0.4134277722
189	0.4133174425
190	0.4132038726
191	0.413042101
192	0.4129417589
193	0.4128098602
194	0.412674133
195	0.4125129383
196	0.4124186109
197	0.4123296629
198	0.4122419726
199	0.4121171003
200	0.4119799661
201	0.4118871921
202	0.4118079637
203	0.4117358565
204	0.4115821714
205	0.4114684759
206	0.4113765806
207	0.4113014563
208	0.4112305105
209	0.4111606733
210	0.4110157691
211	0.4108926167
212	0.4108460643
213	0.4107770602
214	0.4106790116
215	0.4106073875
216	0.4104959317
217	0.4103444467
218	0.4102360679
219	0.4101827341
220	0.4100844788
221	0.4099740137
222	0.4098582239
223	0.4096912767
224	0.4095864821
225	0.4094758106
226	0.4093546137
227	0.4091539655
228	0.4090918759
229	0.4089144242
230	0.4088628396
231	0.408772415
232	0.4087097959
233	0.4085932352
234	0.4085254585
235	0.4083871983
236	0.4082359899
237	0.4080882802
238	0.4080050646
239	0.4078809774
240	0.4077563359
241	0.4077071427
242	0.4075876205
243	0.4074087514
244	0.4072734487
245	0.407182332
246	0.4070516226
247	0.4069512126
248	0.4068104458
249	0.4067349477
250	0.4066563523
251	0.4065261772
252	0.406458173
253	0.406360022
254	0.406256831
255	0.4061751893
256	0.4061277556
257	0.4060744589
258	0.4059433075
259	0.4058366791
260	0.4057786298
261	0.4056766124
262	0.4055640689
263	0.405463543
264	0.4053117567
265	0.4052383705
266	0.4050464521
267	0.4049344566
268	0.4047936063
269	0.404647518
